Joseph 's INT return for TD lifts Texans over Bills 20 - 13	0,6,PLAYER;34,40,TEAM;46,51,TEAM
HOUSTON ( AP ) On a day Houston quarterback Deshaun Watson was n't at his best , the defense helped the Texans pull out another win .	0,7,CITY;10,12,ORG;24,31,TEAM;44,58,PLAYER;104,110,TEAM
Johnathan Joseph 's 28-yard interception return for a touchdown with 1:23 remaining lifted the Texans to their third straight victory , a 20 - 13 win over the Buffalo Bills on Sunday .	0,16,PLAYER;95,101,TEAM;159,172,TEAM176,182,DATETIME
The Texans trailed by three when Phillip Gaines was called pass interference on Will Fuller in the end zone with 2 minutes remaining , moving the Texans 41 yards to the 1-yard line .	4,10,TEAM;33,47,PLAYER;80,91,PLAYER;146,152,TEAM
But the Texans ( 3 - 3 ) lost 7 yards on three plays , capped by an incomplete pass intended for Ryan Griffin that Matt Milano knocked down to force Houston to kick .	8,14,TEAM;97,109,PLAYER;115,126,PLAYER;149,156,TEAM
A 27-yard field goal by Ka'imi Fairbairn tied it with 1:34 remaining .	24,40,PLAYER
Two plays later Joseph stepped in front of a pass from backup Nathan Peterman intended for Kelvin Benjamin and dashed untouched into the end zone to put the Texans on top and help them avoid their third straight overtime game .	16,22,PLAYER;62,77,PLAYER;91,106,PLAYER;157,163,TEAM
' ' I kind of thought for a second to just get there and hold the ball so we can the run clock out , '' Joseph said . ' ' But then I was like : ` A chance like that ( does n't ) come by so often . I 've got to score this . ' ''	104,110,PLAYER
The Bills had a chance to tie after that , but Kareem Jackson intercepted Peterman with 35 seconds left to secure the victory .	4,9,TEAM;47,61,PLAYER
Joseph 's late - game heroics helped Houston to its third straight win on a day Watson committed three turnovers .	0,6,PLAYER;37,44,TEAM;80,86,PLAYER
The Bills hurried and harassed Watson all day , sacking him seven times and hitting him 12 more . Watson , questionable this week with a chest injury , was slow to get up several times and did n't seem to be moving as well as he normally does .	4,9,TEAM;31,37,PLAYER;98,104,PLAYER
Watson brushed off questions about his health , saying he did n't ' ' want to make any excuses , '' but his teammates acknowledged the injury and said it made them want to do more to help him .	0,6,PLAYER
' ' When you 've got a guy that sacrifices everything when he 's hurt , everybody around him better do the same thing , especially if it 's your quarterback , '' defensive end Jadeveon Clowney said . ' ' I think everybody put that on their shoulders this week and just tried to give it all up for him . ''	176,192,PLAYER
Watson was 15 of 25 for 177 yards with a touchdown and two interceptions . He also lost a fumble .	0,6,PLAYER
Peterman threw for 61 yards with a touchdown and two interceptions for the Bills ( 2 - 4 ) after taking over for rookie Josh Allen , who left with an elbow injury late in the third quarter . Allen threw for 84 yards and ran for 20 .	0,8,PLAYER;75,80,TEAM;120,130,PLAYER;191,196,PLAYER
Bills coach Sean McDermott said after the game that they were still evaluating Allen 's injury .	0,5,TEAM;12,26,BOSS;79,84,PLAYER
He saw some good things from Peterman but was disappointed with his turnovers .	29,37,PLAYER
' ' At the end of the game ... he was probably trying to do too much , '' McDermott said . ' ' I do n't want to paint it all bad , but we 've got to protect the football and make sure we 're smart . ''	74,83,BOSS
The Bills took their first lead of the game when Peterman found Zay Jones in the corner of the end zone on a 16-yard pass that made it 13 - 10 early in the fourth quarter .	4,9,TEAM;49,57,PLAYER;64,73,PLAYER
Lorenzo Alexander tipped a pass by Watson at the line and intercepted it on the first drive of the second half . The Bills had a first down at the 8-yard line before their offense stalled and they kicked a 22-yard field goal to cut the lead to 10 - 3 .	0,17,PLAYER;35,41,PLAYER;117,122,TEAM
Peterman 's first pass after taking over was incomplete and his second was short of a first down , and the Bills added a 52-yard field goal to get within 10 - 6 .	0,8,PLAYER;107,112,TEAM
Watson was sacked on Houston 's next drive and Harrison Phillips recovered his fumble at the Houston 32 near the end of the third quarter .	0,6,PLAYER;21,28,TEAM;47,64,PLAYER;93,100,TEAM
The Texans recovered a fumble on a punt return and took advantage of the mistake a few plays later when Watson connected with DeAndre Hopkins on a 13-yard pass to make it 7 - 0 . A 33-yard field goal pushed the lead to 10 - 0 in the second quarter .	4,10,TEAM;104,110,PLAYER;126,141,PLAYER
INJURIES
Bills LG Vladimir Ducasse left in the fourth quarter with a knee injury . ... Allen looked to be in quite a bit of pain in the sideline as trainers worked on his elbow .	0,5,TEAM;9,25,PLAYER;78,83,PLAYER
WATT 'S WORK	0,4,PLAYER
Houston 's J.J. Watt had a sack to give him at least one in four straight games and leave him tied for the NFL lead with seven this season . Watt has played well in his return after playing just eight games combined in the previous two seasons because of back surgery and a broken leg .	0,7,TEAM;11,20,PLAYER;107,110,ORG;141,145,PLAYER
' ' I 'm just trying to get better and better , '' he said . ' ' Everybody told me I was washed - up . Some people did n't think I could get seven sacks on the season . I 'm just trying to keep doing what I 'm doing . ''
UP NEXT
Bills : Visit Indianapolis next Sunday .	0,5,TEAM;14,26,TEAM;32,38,DATETIME
Texans : Visit Jacksonville next Sunday .	0,6,TEAM;15,27,TEAM;33,39,DATETIME
